disease,a,b,cosine,flagged
REN,REN.1,REN.4,0.8999849,False
ATYP,ATYP.3,ATYP.5,0.900311,False
LEP,LEP.3,LEP.5,0.90089375,False
OST,OST.3,OST.4,0.90104127,False
JUV,JUV.3,JUV.5,0.9012012,False
PRIM,PRIM.1,PRIM.3,0.9023978,False
DOO,DOO.1,DOO.3,0.9035398,False
KRA,KRA.3,KRA.4,0.9037852,False
IMMU,IMMU.1,IMMU.4,0.90417624,False
REN,REN.2,REN.4,0.90462244,False
MAR,MAR.3,MAR.4,0.9054025,False
LEI,LEI.1,LEI.5,0.905532,False
DIA,DIA.1,DIA.4,0.90652454,False
AIC,AIC.3,AIC.5,0.9066162,False
ANG,ANG.1,ANG.5,0.9066555,False
BAI,BAI.1,BAI.4,0.90699893,False
CRA,CRA.2,CRA.5,0.90769094,False
BAR,BAR.1,BAR.3,0.9078714,False
SAND,SAND.1,SAND.3,0.90823644,False
MAL,MAL.1,MAL.3,0.90968585,False
SIC,SIC.1,SIC.4,0.9097606,False
LEI,LEI.1,LEI.4,0.91022676,False
VAN,VAN.2,VAN.3,0.9102741,False
HYPO,HYPO.1,HYPO.3,0.9104144,False
TEMP,TEMP.3,TEMP.5,0.9109326,False
AIC,AIC.4,AIC.5,0.9112167,False
ODO,ODO.1,ODO.2,0.9113919,False
KAW,KAW.1,KAW.5,0.91146797,False
IMMU,IMMU.1,IMMU.5,0.9118726,False
GLU,GLU.1,GLU.5,0.91200435,False
LEP,LEP.4,LEP.5,0.91207725,False
FANC,FANC.2,FANC.5,0.91267526,False
CRA,CRA.1,CRA.3,0.91349834,False
AURI,AURI.2,AURI.5,0.91368693,False
DIA,DIA.2,DIA.3,0.9137017,False
BOH,BOH.1,BOH.3,0.9147124,False
BEC,BEC.1,BEC.3,0.9153334,False
LEI,LEI.2,LEI.3,0.916013,False
CRIS,CRIS.1,CRIS.3,0.916149,False
COND,COND.4,COND.5,0.9163338,False
MUL,MUL.2,MUL.4,0.91648513,False
MAR,MAR.1,MAR.5,0.9168269,False
BART,BART.2,BART.3,0.9173028,False
ALL,ALL.1,ALL.3,0.9174735,False
GLU,GLU.1,GLU.3,0.9179322,False
BART,BART.3,BART.5,0.917953,False
BARB,BARB.3,BARB.5,0.91797054,False
BEC,BEC.1,BEC.5,0.9180957,False
MOR,MOR.1,MOR.2,0.91812253,False
MAR,MAR.4,MAR.5,0.918598,False
USHB,USHB.2,USHB.5,0.9190142,False
BOY,BOY.2,BOY.4,0.91918516,False
GEO,GEO.3,GEO.4,0.9194191,False
SAND,SAND.3,SAND.5,0.92078567,False
REN,REN.2,REN.3,0.9211695,False
ALLA,ALLA.2,ALLA.4,0.92128265,False
CUS,CUS.2,CUS.5,0.9218979,False
BEC,BEC.1,BEC.2,0.9220041,False
OCH,OCH.2,OCH.4,0.92210054,False
AIC,AIC.2,AIC.4,0.9222536,False
JUV,JUV.1,JUV.2,0.92240715,False
CRA,CRA.2,CRA.4,0.9225672,False
KRA,KRA.1,KRA.2,0.92263323,False
ATYP,ATYP.3,ATYP.4,0.9228042,False
LEI,LEI.1,LEI.2,0.92450625,False
PTEN,PTEN.2,PTEN.5,0.92473114,False
PRO,PRO.4,PRO.5,0.92482525,False
CLE,CLE.2,CLE.3,0.9251321,False
BAR,BAR.1,BAR.4,0.9258555,False
FANC,FANC.2,FANC.4,0.9260704,False
OCU,OCU.2,OCU.5,0.92608905,False
JOUA,JOUA.1,JOUA.5,0.92638445,False
ANG,ANG.2,ANG.4,0.9266145,False
VAN,VAN.4,VAN.5,0.9269486,False
LOE,LOE.2,LOE.3,0.9280286,False
TEMP,TEMP.1,TEMP.3,0.928223,False
AAR,AAR.2,AAR.3,0.92882967,False
KRA,KRA.1,KRA.3,0.92931604,False
CSY,CSY.1,CSY.4,0.9293991,False
DIA,DIA.1,DIA.2,0.93018335,False
GLU,GLU.4,GLU.5,0.9306177,False
AIC,AIC.2,AIC.3,0.93066025,False
TUR,TUR.1,TUR.5,0.9308352,False
