feature,bias_224,iqr_224,bias_160,iqr_160,bias_128,iqr_128,bias_96,iqr_96,bias_64,iqr_64,res_drift_224
nose_to_face_area_ratio,-0.11295555316194184,0.2126642096106513,-0.2302259250576303,0.4166650324816403,-0.27256371370589105,0.5232084101105225,-0.2869095361458751,0.6792254616359491,-0.3432222097336609,0.8487368260267519,0.11295555316194184
philtrum_length,0.010441465115489705,0.17545236550034982,0.016460582840085558,0.3812375719120417,0.012660921195509791,0.4204870200453009,-0.05410210025171315,0.668873269124407,-0.13657028288036502,0.9997310947769945,0.010441465115489705
philtrum_width,-0.029651600055204314,0.11639421796399538,-0.03573880330424216,0.20530036581014816,-0.008140118119056133,0.2621034107318083,0.015279950646305942,0.3371381575433203,-0.05640639577262724,0.5923693642068568,0.029651600055204314
mouth_width,-0.021932995561789237,0.09117458019160617,-0.02562810001686598,0.14520817020742888,0.004896224895328941,0.20751958204358656,0.021486299765135018,0.30886509585866156,-0.038243759988338705,0.567050676725373,0.021932995561789237
mouth_opening,0.005728117637230149,0.061897529365721474,0.01511031124477467,0.11558775410818081,0.03489753193149628,0.1561555964242712,0.04348573271033612,0.2110558733760461,0.010240367052999556,0.36327555293129155,0.005728117637230149
upper_vermilion_height,-0.018419283870828723,0.22189878949526615,-0.015934671527336776,0.4024213398314676,-0.0026536858165305665,0.5565271017908113,0.07500002157008695,0.8350073981387539,0.28901217448914385,1.1406077318238397,0.018419283870828723
lower_vermilion_height,-0.014470461382009029,0.18523668242750385,-0.03474270700251924,0.3114980828384023,-0.0539803233853679,0.4239569601825543,-0.08439984830846495,0.6056860952148396,-0.24838353691087303,0.9066877781415597,0.014470461382009029
vermilion_total,-0.019926556601694245,0.19429259694668816,-0.028295922972622643,0.3478904334194356,-0.061677058119503886,0.4827238196098865,-0.002690134200998907,0.7260635582001786,0.01275387415248765,1.0645578798976416,0.019926556601694245
cupid_bow_drop,-0.0590327193854826,0.20545720315151222,-0.1717247878497123,0.36310879856361994,-0.28365165752499655,0.46015566340719183,-0.4481876252593858,0.6588079624115297,-0.7185187431329496,0.9815367522823606,0.0590327193854826
mouth_corner_drop,-0.002790220333643921,0.12835269456230242,0.033545675897300176,0.20499693307021824,0.07823142027001942,0.2925349029000418,0.15511488285291697,0.44501684335830105,0.24480550713171995,0.7624337881731003,0.002790220333643921
mouth_triangularity,-0.0033901855172361658,0.1265856148413841,0.023996659350558225,0.20562959953743076,0.06591016383932949,0.29107369800636856,0.1256706205814176,0.43789807095829864,0.19501283822159493,0.7576641285468239,0.0033901855172361658
mouth_tenting,-0.00037322753376141973,0.12016207931234352,0.023584945326643826,0.21017272414180144,0.05596635159736691,0.30014020349285797,0.12532952865610064,0.41150834281366605,0.1975668567158119,0.764553555529464,0.00037322753376141973
mouth_upper_curvature_c2,0.008096184691383401,0.08588554026356718,0.028060607919630207,0.14307575767890549,0.04394583382633177,0.20018637831604397,0.055848093975395814,0.3061594093619802,0.10245790663976015,0.5384750480847125,0.008096184691383401
upper_lip_eversion,-0.022647901861947914,0.21274169646827484,-0.025888551504624817,0.3967120114979661,-0.01742775868603031,0.5306710118002484,0.03971116549429718,0.8030411762906278,0.21404058811467924,1.1016676773420366,0.022647901861947914
lower_lip_eversion,-0.015339290091233599,0.1841038489939537,-0.030573373120854536,0.3103825108469881,-0.06350365749245543,0.41893273378333895,-0.07676131914489777,0.6065619247074994,-0.17194576060276984,0.94045154542604,0.015339290091233599
lip_midline_x_std,-0.01228860695423651,0.15581703552335205,-0.029359161367460647,0.20264816338499594,-0.02930175748607967,0.31069162503089165,-0.054894462160850324,0.45809829336275343,-0.11308548645907801,0.6730539816101989,0.01228860695423651
chin_height,0.004515536056971147,0.15212499758947634,0.002527802164044417,0.241278651103357,9.211619067308317e-05,0.28032964195116006,-0.008101052194464994,0.42299992855663204,-0.01840092923536739,0.740104083101238,0.004515536056971147
chin_width,-0.08733603769727183,0.1873211987886577,-0.12957651067730286,0.29393062448533563,-0.13466300431765935,0.3501026371497939,-0.14531196555106912,0.556265165229254,-0.09598786398649103,0.9083192205266559,0.08733603769727183
chin_pointedness_angle,-0.011773402308982732,0.1791802715092095,0.021024853780023257,0.29803289490937923,0.08318255290664406,0.4007345105483956,0.20616237104056867,0.5311704403112085,0.5146080238090268,0.8658762663710763,0.011773402308982732
jaw_bigonial_width,-0.04918164448304057,0.26253349659628633,-0.1039190391466002,0.3980417660869665,-0.10267416886246386,0.4313273361667208,-0.12209148584434072,0.6445136806435814,0.005654522935198091,0.8462037630664442,0.04918164448304057
forehead_height,0.025314132122533646,0.18521311045155536,0.00021787733397660476,0.30693645068287456,0.002698224682136635,0.3466514694228645,0.06094456989980029,0.5191883770956625,0.14662186243883163,0.7329213566317607,0.025314132122533646
forehead_width_upper,-0.10796762904717169,0.28008797621043213,-0.22221821741083878,0.5289780761514113,-0.25653698999319696,0.6304301218018152,-0.26127888099613605,0.7923335301697072,-0.24343366570934794,1.111154261623056,0.10796762904717169
forehead_width_mid,-0.1033816206772033,0.2550440390866512,-0.20534447791466576,0.5176260860219686,-0.2509330527245638,0.6310196330457584,-0.2709732304353833,0.7896504885845083,-0.28981042849453287,1.0908452715667525,0.1033816206772033
forehead_taper_ratio,-0.11783998401236621,0.28054806684944716,-0.20067596182164243,0.5109954377608943,-0.18114999094099013,0.64904925987082,-0.18134746967380225,0.7432294016505846,-0.03190031374227652,1.0457327403172563,0.11783998401236621
face_aspect_ratio,-0.015712022384812823,0.15532551928641375,0.01856672377399967,0.2679256258901876,0.03560334084108796,0.33760098092405216,0.04333237170916315,0.42492336856066487,0.1232519563091729,0.6707106694048375,0.015712022384812823
